product,indexer,ratingName,riskScore,minTax,quantityAvailable,puMinValue,bank,maturity_date
LCA,Pré-fixado,AAA,6.0,12.75,58072,998.4541262,BANCO DLL,2027-04-01
LCA,Pré-fixado,brAAA,12.0,11.5,1020126,100.1574935,BANCO BV,2029-03-01
CDB,Pós-fixado,,9.0,111.0,669,1000.0,AFINZ,2027-04-01
CDB,Pós-fixado,,9.0,108.0,755,1000.0,AFINZ,2026-04-01
CDB,Pós-fixado,brAAA,1.0,101.5,98452248,1.0,PAGBANK,2025-08-01
CDB,Pós-fixado,brAAA,1.0,101.25,99421058,1.0,PAGBANK,2025-07-01
CDB,Pós-fixado,brAAA,1.0,100.5,99725233,1.0,PAGBANK,2025-06-01
CDB,Pós-fixado,brAAA,1.0,100.0,394056,1000.0,BANCO XP,2027-04-01
CDB,Pós-fixado,brAAA,1.0,100.0,9617,1000.0,BANCO VOLKSWAGEN,2026-04-01
CDB,Pós-fixado,brAAA,1.0,100.0,99290950,1.0,PAGBANK,2025-05-01
CDB,Pós-fixado,brAAA,1.0,98.5,9989,1000.0,BANCO VOLKSWAGEN,2027-04-01
LCD,Pós-fixado,brAAA,6.0,93.0,16490,10372.69963,,2030-03-01
LCA,Pós-fixado,AAA,5.0,93.0,19791,1000.0,BANCO COOPERATIVO SICOOB,2029-04-01
LCD,Pós-fixado,brAAA,5.0,92.0,33829,10317.40338,,2029-03-01
LCI,Pós-fixado,brAAA,2.0,91.0,297166,1000.0,BANCO XP,2026-04-01
LCA,Pós-fixado,AAA,3.0,91.0,19982,1000.0,BANCO COOPERATIVO SICOOB,2028-04-01
LCA,Pós-fixado,AAA,2.0,90.0,19990,1000.0,BANCO COOPERATIVO SICOOB,2027-04-01
LCA,Pós-fixado,AAA,2.0,89.0,19980,1000.0,BANCO COOPERATIVO SICOOB,2026-04-01
CDB,Pré-fixado,A-,9.0,19.0,31,1390.357226,BANCO MASTER,2026-12-01
CDB,Pré-fixado,A-,28.0,19.0,145,849.5927765,BANCO MASTER,2032-10-01
CDB,Pré-fixado,A-,9.0,19.0,24,1366.134087,BANCO MASTER,2027-02-01
CDB,Pré-fixado,A-,12.0,19.0,56,1049.235163,BANCO MASTER DE INVESTIME,2027-12-01
CDB,Pré-fixado,A-,17.0,19.0,12,1011.752416,BANCO MASTER,2029-07-01
CDB,Pré-fixado,A-,11.0,19.0,1,1178.033099,BANCO MASTER,2027-05-01
CDB,Pré-fixado,A-,12.0,19.0,5,997.9202131,BANCO MASTER DE INVESTIME,2028-03-01
CDB,Pré-fixado,A-,19.0,19.0,6,946.2436765,BANCO MASTER DE INVESTIME,2030-01-01
CDB,Pré-fixado,A-,25.0,19.0,3,839.6060103,MASTER,2031-05-01
CDB,Pré-fixado,A-,14.0,19.0,3,1551.328669,BANCO MASTER,2028-05-01
CDB,Pré-fixado,A-,28.0,19.0,2,828.8238793,BANCO MASTER,2032-05-01
CDB,Pré-fixado,A-,19.0,19.0,21,942.9833891,BANCO MASTER DE INVESTIME,2030-01-01
CDB,Pré-fixado,A-,11.0,19.0,3,1304.771583,BANCO MASTER,2027-09-01
CDB,Pré-fixado,A-,7.0,19.0,3,1679.037086,BANCO MASTER,2026-10-01
CDB,Pré-fixado,A-,25.0,19.0,24,821.3203918,MASTER,2031-06-01
CDB,Pré-fixado,A-,11.0,19.0,1,1620.774913,BANCO MASTER,2027-05-01
CDB,Pré-fixado,A-,28.0,19.0,30,829.4245731,BANCO MASTER,2032-05-01
CDB,Pré-fixado,A-,9.0,19.0,5,1374.969856,BANCO MASTER,2027-03-01
CDB,Pré-fixado,A-,12.0,19.0,10,995.1058646,BANCO MASTER DE INVESTIME,2028-03-01
CDB,Pré-fixado,A-,25.0,19.0,73,810.5650982,MASTER,2031-07-01
CDB,Pré-fixado,A-,16.0,19.0,35,1246.179979,BANCO MASTER,2029-02-01
CDB,Pré-fixado,A-,23.0,19.0,35,854.6593213,MASTER,2031-01-01
CDB,Pré-fixado,A-,16.0,19.0,3,991.9515862,BANCO MASTER DE INVESTIME,2029-01-01
CDB,Pré-fixado,A-,12.0,19.0,10,1089.174174,BANCO MASTER DE INVESTIME,2027-11-01
CDB,Pré-fixado,,12.0,19.0,4,972.4563036,WILL FINANCEIRA (MASTER),2027-09-01
CDB,Pré-fixado,A-,12.0,19.0,11,1251.325082,BANCO MASTER,2028-03-01
CDB,Pré-fixado,A-,12.0,19.0,1,1445.500881,BANCO MASTER,2028-02-01
CDB,Pré-fixado,A-,14.0,19.0,20,974.9078003,BANCO MASTER DE INVESTIME,2028-06-01
CDB,Pré-fixado,,12.0,19.0,12,990.1273837,WILL FINANCEIRA (MASTER),2027-12-01
CDB,Pré-fixado,A-,12.0,19.0,5,1034.057674,BANCO MASTER DE INVESTIME,2028-01-01
CDB,Pré-fixado,A-,25.0,19.0,100,799.8478719,MASTER,2031-07-01
CDB,Pré-fixado,A-,16.0,19.0,9,1214.810635,BANCO MASTER,2029-01-01
CDB,Pré-fixado,A-,28.0,19.0,3,845.1916466,BANCO MASTER,2032-06-01
CDB,Pré-fixado,,12.0,19.0,24,980.0755196,VOITER (MASTER),2028-03-01
CDB,Pré-fixado,A-,17.0,19.0,9,954.8848497,BANCO MASTER DE INVESTIME,2029-05-01
CDB,Pré-fixado,A-,11.0,19.0,5,1401.867959,BANCO MASTER,2027-07-01
CDB,Pré-fixado,A-,16.0,19.0,28,1178.256806,BANCO MASTER,2029-04-01
CDB,Pré-fixado,A-,12.0,19.0,17,1210.641952,BANCO MASTER,2028-03-01
CDB,Pré-fixado,A-,11.0,19.0,1,1290.276854,BANCO MASTER,2027-10-01
CDB,Pré-fixado,A-,28.0,19.0,3,845.9246869,BANCO MASTER,2032-10-01
CDB,Pré-fixado,A-,11.0,19.0,4,1308.898817,BANCO MASTER,2027-08-01
CDB,Pré-fixado,A-,21.0,19.0,5,883.4117442,BANCO MASTER DE INVESTIME,2030-08-01
CDB,Pré-fixado,A-,16.0,19.0,1,1247.008841,BANCO MASTER,2029-02-01
CDB,Pré-fixado,A-,17.0,19.0,20,916.8889171,BANCO MASTER DE INVESTIME,2029-08-01
CDB,Pré-fixado,,12.0,19.0,2,977.8331021,VOITER (MASTER),2027-08-01
CDB,Pré-fixado,A-,9.0,19.0,7,1033.638163,BANCO MASTER DE INVESTIME,2027-02-01
CDB,Pré-fixado,A-,9.0,19.0,15,1351.787062,BANCO MASTER,2026-12-01
CDB,Pré-fixado,A-,9.0,19.0,3,1397.53392,BANCO MASTER,2027-03-01
CDB,Pré-fixado,A-,11.0,19.0,31,1440.627797,BANCO MASTER,2027-07-01
CDB,Pré-fixado,A-,11.0,19.0,16,1380.433949,BANCO MASTER,2027-07-01
CDB,Pré-fixado,,12.0,19.0,3,970.6418606,VOITER (MASTER),2027-11-01
CDB,Pré-fixado,A-,14.0,19.0,4,1272.980867,BANCO MASTER,2028-10-01
CDB,Pré-fixado,A-,17.0,19.0,4,1032.177202,BANCO MASTER,2029-06-01
CDB,Pré-fixado,A-,16.0,19.0,5,1245.320049,BANCO MASTER,2029-03-01
CDB,Pré-fixado,A-,11.0,19.0,3,1098.383022,BANCO MASTER,2027-10-01
CDB,Pré-fixado,A-,16.0,19.0,39,991.6381096,BANCO MASTER DE INVESTIME,2029-04-01
CDB,Pré-fixado,A-,11.0,19.0,4,1293.76504,BANCO MASTER,2027-08-01
CDB,Pré-fixado,A-,12.0,19.0,5,993.3389848,BANCO MASTER DE INVESTIME,2028-03-01
CDB,Pré-fixado,A-,25.0,19.0,98,798.7430358,MASTER,2031-07-01
CDB,Pré-fixado,A-,16.0,19.0,2,1204.38448,BANCO MASTER,2029-03-01
CDB,Pré-fixado,A-,11.0,19.0,16,1396.817224,BANCO MASTER,2027-07-01
CDB,Pré-fixado,A-,28.0,19.0,2,841.4404603,BANCO MASTER,2032-10-01
CDB,Pré-fixado,A-,28.0,19.0,12,843.4387557,BANCO MASTER,2032-06-01
CDB,Pré-fixado,A-,14.0,19.0,12,1034.014236,BANCO MASTER,2028-08-01
CDB,Pré-fixado,A-,12.0,19.0,4,989.8568711,BANCO MASTER DE INVESTIME,2028-04-01
CDB,Pré-fixado,A-,23.0,19.0,5,868.7138854,MASTER,2031-03-01
CDB,Pré-fixado,A-,11.0,19.0,4,1313.699176,BANCO MASTER,2027-08-01
CDB,Pré-fixado,A-,9.0,19.0,62,1413.350576,BANCO MASTER,2027-03-01
CDB,Pré-fixado,A-,9.0,19.0,9,1414.822646,BANCO MASTER,2026-11-01
CDB,Pré-fixado,A-,12.0,19.0,15,998.5955622,BANCO MASTER DE INVESTIME,2028-04-01
CDB,Pré-fixado,A-,17.0,19.0,50,1013.325145,BANCO MASTER,2029-10-01
CDB,Pré-fixado,A-,17.0,19.0,30,958.8022975,BANCO MASTER DE INVESTIME,2029-05-01
CDB,Pré-fixado,A-,9.0,19.0,3,1370.963258,BANCO MASTER,2027-02-01
CDB,Pré-fixado,A-,19.0,19.0,5,1121.773886,BANCO MASTER,2029-10-01
CDB,Pré-fixado,,12.0,19.0,3,990.9065226,VOITER (MASTER),2027-12-01
CDB,Pré-fixado,,11.0,19.0,5,961.557537,VOITER (MASTER),2027-03-01
CDB,Pré-fixado,A-,14.0,19.0,2,970.2385042,BANCO MASTER DE INVESTIME,2028-06-01
CDB,Pré-fixado,A-,16.0,19.0,2,1347.021592,BANCO MASTER,2028-11-01
CDB,Pré-fixado,A-,11.0,19.0,5,1440.627797,BANCO MASTER,2027-07-01
CDB,Pré-fixado,A-,30.0,19.0,32,927.7877367,BANCO MASTER,2033-03-01
CDB,Pré-fixado,A-,9.0,19.0,13,1387.474439,BANCO MASTER,2027-02-01
CDB,Pré-fixado,A-,12.0,19.0,2,1217.180849,BANCO MASTER,2028-03-01
CDB,Pré-fixado,A-,9.0,19.0,2,1438.434668,BANCO MASTER,2027-01-01
CDB,Pré-fixado,A-,28.0,19.0,50,827.9309239,BANCO MASTER,2032-04-01
CDB,Pré-fixado,A-,17.0,19.0,4,899.5683546,BANCO MASTER DE INVESTIME,2029-08-01
CDB,Pré-fixado,A-,9.0,19.0,2,1377.936279,BANCO MASTER,2027-01-01
