product,indexer,ratingName,riskScore,minTax,quantityAvailable,puMinValue,bank,maturity_date
LCA,Pré-fixado,AAA,7.0,12.4,40590,979.0350748,BANCO DLL,2028-05-01
LCA,Pré-fixado,brAAA,9.0,11.5,925156,100.6345324,BANCO BV,2029-03-01
CDB,Pós-fixado,,11.0,111.5,5474,1000.0,NEON FINANCEIRA,2028-05-01
CDB,Pós-fixado,,8.0,111.0,1511,1000.0,AFINZ,2027-05-01
CDB,Pós-fixado,,8.0,108.0,666,1000.0,AFINZ,2026-05-01
CDB,Pós-fixado,brAAA,1.0,101.5,98787867,1.0,PAGBANK,2025-09-01
CDB,Pós-fixado,brAAA,1.0,101.25,99389470,1.0,PAGBANK,2025-08-01
CDB,Pós-fixado,brAAA,1.0,100.5,99815810,1.0,PAGBANK,2025-07-01
CDB,Pós-fixado,brAAA,1.0,100.0,395299,1000.0,BANCO XP,2027-05-01
CDB,Pós-fixado,brAAA,1.0,100.0,9099,1000.0,BANCO VOLKSWAGEN,2026-05-01
CDB,Pós-fixado,brAAA,1.0,100.0,99729239,1.0,PAGBANK,2025-06-01
CDB,Pós-fixado,brAAA,1.0,98.5,9995,1000.0,BANCO VOLKSWAGEN,2027-05-01
LCD,Pós-fixado,AAA,6.0,94.0,29141,998.6892127,,2029-11-01
LCA,Pós-fixado,AAA,5.0,94.0,97685,1000.0,BANCO COOPERATIVO SICOOB,2030-04-01
LCA,Pós-fixado,AAA,4.0,93.0,49860,1000.0,BANCO COOPERATIVO SICOOB,2029-04-01
LCD,Pós-fixado,brAAA,6.0,93.0,35730,10425.5185,,2030-03-01
LCI,Pós-fixado,brAAA,2.0,92.0,1000,5000000.0,CEF,2027-05-01
LCD,Pós-fixado,brAAA,5.0,92.0,32535,10371.54732,,2029-03-01
LCI,Pós-fixado,brAAA,2.0,91.0,1000,1000000.0,CEF,2027-05-01
LCI,Pós-fixado,brAAA,2.0,91.0,119288,1000.0,BANCO XP,2026-05-01
LCA,Pós-fixado,AAA,3.0,91.0,50000,1000.0,BANCO COOPERATIVO SICOOB,2028-04-01
LCI,Pós-fixado,brAAA,2.0,90.5,1000,500000.0,CEF,2027-05-01
LCI,Pós-fixado,brAAA,2.0,90.0,1000,250000.0,CEF,2027-05-01
LCA,Pós-fixado,AAA,2.0,90.0,49952,1000.0,BANCO COOPERATIVO SICOOB,2027-05-01
LCA,Pós-fixado,AAA,2.0,89.0,49985,1000.0,BANCO COOPERATIVO SICOOB,2026-05-01
LCA,Pós-fixado,AAA,2.0,89.0,49836,1000.0,BANCO COOPERATIVO SICOOB,2026-02-01
CDB,Pós-fixado,,11.0,113.0,19840,1000.0,DM FINANCEIRA,2028-05-01
CDB,Pós-fixado,,11.0,113.0,3904,1000.0,PERNAMBUCANAS FINANCIADOR,2028-05-01
CDB,Pós-fixado,,8.0,112.0,19582,1000.0,DM FINANCEIRA,2027-05-01
CDB,Pós-fixado,brBBB,8.0,110.0,9400,1000.0,ORIGINAL,2028-05-01
CDB,Pós-fixado,,8.0,110.0,3896,1000.0,PERNAMBUCANAS FINANCIADOR,2027-05-01
CDB,Pós-fixado,brBBB,7.0,109.0,3827,1000.0,ORIGINAL,2027-05-01
CDB,Pós-fixado,,12.0,108.0,19997,1000.0,MIDWAY,2030-05-01
CDB,Pós-fixado,,11.0,108.0,19995,1000.0,MIDWAY,2029-05-01
CDB,Pós-fixado,,11.0,108.0,20000,1000.0,MIDWAY,2028-05-01
LCA,Pós-fixado,brBBB,7.0,93.0,24674,1000.0,ORIGINAL,2027-05-01
LCA,Pós-fixado,brBBB,7.0,92.5,24757,1000.0,ORIGINAL,2026-11-01
LCA,Pós-fixado,brBBB,7.0,92.0,24117,1000.0,ORIGINAL,2026-05-01
CDB,Inflação,A,6.0,7.1,455,1.10598411,BMG,2029-04-01
CDB,Inflação,BBB+,12.0,6.97,4,1098.42863591,FIBRA,2029-07-01
CDB,Pós-fixado,A,2.0,0.0,624,1.2608479,BMG,2025-07-01
LCI,Pós-fixado,AAA,2.0,89.0,24031,0.01104015,BANCO BRADESCO,2027-04-01
CDB,Pré-fixado,AAA.br,2.0,17.44,742,1.05791152,NUBANK,2025-09-01
CDB,Pré-fixado,AAA.br,3.0,16.32,190,1.06181061,NUBANK,2026-07-01
LCA,Pré-fixado,brAAA,5.0,13.6,7,95.96104401,BANCO BV,2027-10-01
CDB,Inflação,A,2.0,9.24,103,1.58987469,BMG,2025-10-01
CDB,Inflação,A,2.0,8.45,979,1.3430953,BMG,2026-06-01
CDB,Inflação,A,2.0,8.14,3964,1.5645931,BMG,2026-10-01
CDB,Inflação,brAAA,3.0,8.1,8,1473.18052313,BANCO PAN,2026-12-01
CDB,Inflação,A,4.0,7.83,1307,1.50424943,BMG,2027-08-01
CDB,Inflação,A,4.0,7.6,4286,1.46979043,BMG,2027-12-01
CDB,Inflação,A,4.0,7.6,100,1.14432228,BMG,2028-01-01
CDB,Inflação,A,6.0,7.1,874,1.32700787,BMG,2028-12-01
CDB,Pós-fixado,AAA.br,1.0,134.67,701,1.07895659,NUBANK,2025-08-01
CDB,Pós-fixado,AAA.br,1.0,127.18,3600,0.99344089,NUBANK,2026-08-01
CDB,Inflação,AA-.br,3.0,8.1,16,1153.14403319,AGIBANK,2026-11-01
CDB,Inflação,BBB+,10.0,7.45,2,1078.69369723,FIBRA,2028-10-01
CDB,Inflação,,11.0,7.32,19,1273.69447493,SOCINAL CRED FINANC E,2028-08-01
CDB,Inflação,BBB+,10.0,7.26,10,1432.52704464,FIBRA,2028-08-01
CDB,Inflação,A.br,,7.25,1,1050.02657323,BS2,2029-01-01
CDB,Inflação,BBB+,11.0,7.1,67,1318.92564954,FIBRA,2029-03-01
CDB,Inflação,BBB+,11.0,7.1,5,1315.95220578,FIBRA,2029-04-01
CDB,Inflação,BBB+,11.0,7.1,7,1369.46226797,FIBRA,2029-04-01
CDB,Inflação,BBB+,11.0,7.1,2,1319.99261451,FIBRA,2028-11-01
CDB,Inflação,BBB+,11.0,7.1,43,1346.547738,FIBRA,2029-04-01
CDB,Inflação,BBB+,11.0,7.1,8,1133.57035149,FIBRA,2028-12-01
CDB,Inflação,BBB+,13.0,6.78,1,1141.71017479,FIBRA,2029-12-01
CDB,Pré-fixado,A,3.0,16.23,10015,1.39664754,BMG,2026-08-01
CDB,Inflação,A,2.0,10.1,51180,1.23821372,BMG,2025-06-01
CDB,Inflação,A,4.0,7.6,3643,1.5632093,BMG,2027-11-01
CDB,Inflação,A,5.0,7.42,19550,1.38974155,BMG,2028-07-01
CDB,Inflação,A,5.0,7.38,6196,1.37357424,BMG,2028-07-01
CDB,Inflação,A,5.0,7.35,1,1067.56036951,BANCO C6 CONSIGNADO,2028-08-01
CDB,Inflação,brAAA,5.0,7.31,2,1201.48887383,BANCO PAN,2028-08-01
CDB,Inflação,brAAA,6.0,7.25,3,103.75974888,BANCO BV,2029-03-01
CDB,Inflação,A,7.0,7.2,13770,1.12716797,BMG,2029-05-01
CDB,Inflação,AA+,5.0,7.12,2,1436.02900281,BANCO RODOBENS,2028-10-01
CDB,Inflação,AA-.br,2.0,8.28,9,1541.34640413,AGIBANK,2026-08-01
CDB,Inflação,BBB+,7.0,8.23,5,1475.52546845,FIBRA,2026-09-01
CDB,Inflação,BBB+,7.0,8.22,3,1469.59586372,FIBRA,2026-09-01
CDB,Inflação,BBB+,7.0,8.12,6,1571.79068806,FIBRA,2026-10-01
CDB,Inflação,BBB+,8.0,8.1,23,1072.25618983,FIBRA,2026-12-01
CDB,Inflação,BBB+,8.0,8.1,65,1087.077447,FIBRA,2026-12-01
CDB,Inflação,BBB+,8.0,8.1,6,1503.71551876,FIBRA,2027-03-01
CDB,Inflação,BBB+,8.0,8.1,153,1447.15966342,FIBRA,2027-03-01
CDB,Inflação,AA-.br,3.0,8.1,1,1134.97032739,AGIBANK,2026-12-01
CDB,Inflação,brBBB,8.0,8.1,26,1386.52584771,ORIGINAL,2027-02-01
CDB,Inflação,BBB+,8.0,8.1,7,1321.51674983,FIBRA,2026-11-01
CDB,Inflação,AA-.br,4.0,7.77,1,1535.98966741,AGIBANK,2027-08-01
CDB,Inflação,AA-.br,4.0,7.7,21,1216.94963071,AGIBANK,2027-10-01
CDB,Inflação,BBB+,9.0,7.62,94,1098.53905617,FIBRA,2027-10-01
CDB,Inflação,BBB+,9.0,7.6,5,1160.42251053,FIBRA,2027-11-01
CDB,Inflação,BBB+,9.0,7.6,40,1091.91150457,FIBRA,2027-11-01
CDB,Inflação,BBB+,10.0,7.51,2,1109.21120416,FIBRA,2028-06-01
CDB,Inflação,BBB+,10.0,7.45,66,1092.70624722,FIBRA,2028-06-01
CDB,Inflação,BBB+,10.0,7.43,1,1102.0450625,FIBRA,2028-07-01
CDB,Inflação,,11.0,7.32,1,1152.34403545,SOCINAL CRED FINANC E,2028-08-01
CDB,Inflação,BBB+,11.0,7.1,28,1292.68192355,FIBRA,2029-02-01
CDB,Inflação,BBB+,12.0,6.95,5,1077.29685557,FIBRA,2029-10-01
CDB,Inflação,BBB+,12.0,6.86,1,1182.35482647,FIBRA,2029-10-01
CDB,Pré-fixado,A,2.0,18.0,12001,1.2286254,BMG,2025-07-01
CDB,Inflação,A,2.0,10.1,18042,1.36906543,BMG,2025-06-01
CDB,Inflação,A,2.0,10.1,17035,1.24813931,BMG,2025-06-01
CDB,Inflação,A,2.0,8.6,1068,1.81568739,BMG,2026-05-01
CDB,Inflação,brAAA,3.0,8.1,5,1253.35096802,BANCO PAN,2027-03-01
CDB,Inflação,brAAA,3.0,8.1,52,1434.43985734,BANCO PAN,2026-11-01
CDB,Inflação,brAAA,3.0,8.1,61,1493.03870815,BANCO PAN,2026-12-01
CDB,Inflação,brAAA,3.0,8.1,9,1496.00501762,BANCO PAN,2026-12-01
CDB,Inflação,A,3.0,8.1,6,1098.03885595,BANCO C6 CONSIGNADO,2027-04-01
CDB,Inflação,brAAA,3.0,8.1,1,1477.66117325,BANCO PAN,2027-02-01
CDB,Inflação,AA,3.0,8.1,18,1055.62377631,BR PARTNERS BANCO DE INVE,2026-12-01
CDB,Inflação,A,4.0,7.61,18158,1.11563467,BMG,2027-10-01
CDB,Inflação,A,4.0,7.6,208423,1.42002751,BMG,2028-02-01
CDB,Inflação,A,4.0,7.6,439,1.41961481,BMG,2028-02-01
CDB,Inflação,A,4.0,7.6,4349,1.4405561,BMG,2027-12-01
CDB,Inflação,A,4.0,7.6,107,1.11349096,BMG,2027-11-01
CDB,Inflação,A,4.0,7.6,11471,1.11442115,BMG,2027-11-01
CDB,Inflação,A,4.0,7.6,1127,1.5742088,BMG,2027-11-01
CDB,Inflação,A,4.0,7.6,490,1.08275759,BMG,2027-12-01
CDB,Inflação,A,4.0,7.6,11011,1.12399303,BMG,2028-02-01
CDB,Inflação,AA+,4.0,7.6,1,1319.30641502,BANCO RODOBENS,2027-12-01
CDB,Inflação,AA+,5.0,7.45,3,1250.98704367,BANCO RODOBENS,2028-06-01
CDB,Inflação,A,5.0,7.3,4,1067.74389713,BANCO C6 CONSIGNADO,2028-08-01
